Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
3,SS,5,0.421947492,0.649574855,0.456131808,70.06663202,10.66982383,5.74688553,5.44024201,2.88070636,34.15249072,24.34584072,30.55648514,0.034185734,0.056174165,0.454871488,0.502,0.840532852,0.9086291
3,ST,1,0.3252246,0.570284666,0.352176415,69.80947382,7.974882771,5.395733821,3.833168127,2.538690327,58.55150851,48.74485851,42.22220623,0.040958198,0.067349064,0.240026128,0.263,1.236595438,1.339073821
3,ST,2,0.32558237,0.570598256,0.344335998,70.08763275,8.162597916,5.397122616,3.946490046,2.553945746,51.44602348,41.63937348,39.17595576,0.038980507,0.063739153,0.243757225,0.282,1.154547411,1.221049639
3,ST,3,0.343596557,0.586171099,0.380312919,70.39996065,8.682671118,5.466089918,4.181778545,2.602907895,46.21820765,36.41155765,32.37800105,0.037239391,0.060685527,0.289886846,0.328,1.04755048,1.159490608
3,ST,4,0.342959189,0.585627176,0.362767597,70.35744085,8.278189598,5.463681048,4.013030414,2.600872814,46.33369208,36.52704208,37.11348748,0.040060421,0.064675523,0.234689206,0.287,1.194979751,1.263998595
3,ST,5,0.365197224,0.6043155,0.360105091,68.71077872,8.253081257,5.546445857,4.08251886,2.68016791,61.16143752,51.35478752,38.81880033,0.042420194,0.06987768,0.222804044,0.276,1.323178348,1.304728592
4,SF,1,0.317731847,0.563677077,0.372163593,83.35942898,11.12297441,5.366470856,5.485376767,2.504155167,27.40901693,17.60236693,19.15116286,0.023289016,0.05091636,0.441719158,0.587,0.54128083,0.634009529
4,SF,2,0.322444318,0.567841807,0.362767597,83.09243272,11.01393226,5.384915157,5.654175713,2.525854363,36.04564101,26.23899101,21.78441455,0.023765242,0.049249674,0.408561502,0.574,0.561749683,0.631999298
4,SF,3,0.374628718,0.61206921,0.38442068,83.0332282,10.94502219,5.580784638,5.646763533,2.714575183,27.71420611,17.90755611,23.31548516,0.027455554,0.053686161,0.392556846,0.547,0.684878827,0.702780037
4,SF,4,0.396805508,0.629925002,0.433974908,83.29412649,11.73998541,5.659862414,6.14701218,2.80294453,26.38565398,16.57900398,23.73060483,0.026853421,0.053151963,0.493101664,0.62,0.640008884,0.699959529
4,SF,5,0.424738566,0.651719699,0.438362158,83.2460677,11.83650738,5.756384383,6.202563067,2.887915367,25.96603131,16.15938131,23.37780094,0.028913539,0.054142171,0.478650857,0.62,0.685062204,0.707035739
4,SS,1,0.199927856,0.447132929,0.277743941,83.19245638,9.096612337,4.850332887,4.08879867,1.99017557,42.85160164,33.04495164,21.22067405,0.021515703,0.039161661,0.316904395,0.433,0.46172715,0.641440973
4,SS,2,0.356405193,0.596996812,0.370813953,83.23014522,9.417080349,5.514033649,4.741249387,2.652432937,47.10456758,37.29791758,23.65477069,0.031582882,0.056667583,0.2469619,0.398,0.895490435,0.93169335
