Parameter,SF_mean,SF_std,SF_shapiro,SS_mean,SS_std,SS_shapiro,ST_mean,ST_std,ST_shapiro
Jump_Height_(Impulse),0.2988652324858404,0.06426579491324519,0.7555632591247559,0.3109111843925729,0.06698179053799623,0.4885181784629822,0.23114662318738466,0.058289232600279406,0.9719216227531433
Jump_Height_(Flight),0.3421573793206771,0.06877362917810399,0.7456622123718262,0.34854529833229164,0.06786678835665089,0.14660851657390594,0.27353124962625003,0.05498111528440595,0.7792103886604309
Bodyweight,75.66470876072134,13.647007711771627,0.019028304144740105,75.63663483283169,13.61235192364057,0.02087891288101673,75.71891901453927,13.4569489104006,0.01334800198674202
GRF_Impulse_(Normalized),10.329082742642706,1.0549446836218215,0.9008773565292358,9.756662002936256,0.8638211772667252,0.2799103260040283,7.7923705196513104,0.6838375906919139,0.34164994955062866
Net_Impulse_(Normalized),5.273754667642704,0.26283327694210706,0.9618589282035828,5.322585205436257,0.2631270017956728,0.7303102016448975,4.974021031734643,0.28137250508639927,0.8252536654472351
Concentric_GRF_Impulse_(Normalized),4.975827214322998,0.6318717832519161,0.681205689907074,4.763902497128193,0.532773769272444,0.3330981433391571,3.5716014713786897,0.4890238846836234,0.6532594561576843
Concentric_Net_Impulse_(Normalized),2.411633405573,0.2629420546688808,0.9558500647544861,2.4616279654615254,0.26354931392487374,0.7283858060836792,2.117111832212023,0.28004308471360084,0.7953817248344421
GRF_Max_(Normalized),33.134005228075615,4.809076761417871,0.06838394701480865,36.26184465969356,5.258729621150398,0.7165725827217102,52.47191410458536,6.3842259526014065,0.4845825433731079
Net_F_Max_(Normalized),23.327355228075614,4.809076761417872,0.0683852806687355,26.455194659693547,5.258729621150398,0.7165635228157043,42.665264104585354,6.384225952601406,0.4845825433731079
GRF_at_Bottom_(Normalized),26.21829510016573,3.156316881005715,0.1063181534409523,28.105443837852132,4.117023716738187,0.06233735382556915,37.52341437819196,7.730664820537611,0.47637060284614563
Average_Power_(Normalized),26.579281464230835,3.8695268354203054,0.7363928556442261,29.04852500552633,4.5783130888135695,0.560413658618927,30.24272180378938,5.014648617640823,0.834080696105957
Peak_Power_(Normalized),47.59328339075143,5.820028515025415,0.5770962834358215,50.16591979425366,6.550193837238406,0.7121657133102417,51.06013372868839,7.960215590680767,0.6842261552810669
Depth,0.4306614805020372,0.08557369846670133,0.5510866641998291,0.3668836614624436,0.0774542568098607,0.5319833159446716,0.22933360033459751,0.03569942304857101,0.07406068593263626
Contact_Time,0.5155,0.09703546639827333,0.9785122275352478,0.45215,0.08251088465745914,0.43811121582984924,0.28739166666666666,0.05372533947262944,0.48078519105911255
RSI_(Impulse),0.594916466095522,0.14099348860157696,0.7482196688652039,0.7117503135618315,0.18709530305748268,0.4008803963661194,0.8241378722430852,0.20261356164355193,0.8889745473861694
RSI_(Flight),0.6815338797061526,0.15502383519109483,0.8222488760948181,0.7984194808654898,0.20222791560937303,0.3246456980705261,0.985333538843803,0.22995835036022302,0.7570843696594238
Stiffness,82.36347767155975,25.311207500167605,0.10384906828403473,107.71492193810708,39.85464242350748,0.051377538591623306,242.8164359382598,55.49434067173881,0.9683200120925903
Time_GRF_Max,0.11065833333333325,0.07240553616034244,0.00036727916449308395,0.08774166666666654,0.05932886911230426,0.0001842961646616459,0.050791666666666534,0.01599494258838697,0.016906389966607094
Time_GRF_Ecc_Max,0.11061666666666659,0.07235720370174781,0.0003665328258648515,0.0877333333333332,0.059317939706420145,0.0001844490470830351,0.05006666666666653,0.013778075421438177,0.5413596630096436
Time_GRF_Con_Max,0.278825,0.09457578166878064,7.834138159523718e-06,0.2293083333333332,0.04148981977458489,0.34572938084602356,0.15011666666666654,0.03752471263009251,0.0400276854634285
