Style,X,Y,Slope,Intercept,R,P,STD
SF,Depth,Jump_Height_(Impulse),0.21210066084906828,0.20752164786912025,0.27957214073853837,0.001985372569707938,0.06705555531559586
SF,Contact_Time,Jump_Height_(Impulse),0.18377436621940257,0.20412954669973843,0.2680350751991252,0.0030783724713604097,0.0608083289529535
SF,GRF_Max_(Normalized),Jump_Height_(Impulse),-0.001735959105003743,0.3563845105467599,-0.1510945462584137,0.09949533635292199,0.001045526048863106
SF,GRF_at_Bottom_(Normalized),Jump_Height_(Impulse),0.004569376032859315,0.17906398323271033,0.22792916389139575,0.012288367850591179,0.0017969302898816267
SF,Average_Power_(Normalized),Jump_Height_(Impulse),0.0125388365734863,-0.034408034034843604,0.7545023878369258,2.5269348125245225e-23,0.0010040520743627437
SF,Peak_Power_(Normalized),Jump_Height_(Impulse),0.009140197803330313,-0.1361467918155827,0.8452120777810217,6.728157160179302e-34,0.0005320354565211042
SF,GRF_Max_(Normalized),Average_Power_(Normalized),0.040155944439712356,25.248754191227093,0.05808389970760428,0.5285966380781092,0.06353590748789326
SF,GRF_at_Bottom_(Normalized),Average_Power_(Normalized),0.7681181402932952,6.440533390230719,0.6367480786255794,5.409416712260593e-15,0.08562769528236218
SF,Depth,Average_Power_(Normalized),-9.585455773351446,30.707368038869166,-0.2099719402830022,0.021347889481890793,4.1088417071037355
SF,Contact_Time,Average_Power_(Normalized),-15.695357058018425,34.67023802763933,-0.3804297917317588,1.8185449089695467e-05,3.5124334301250264
SF,GRF_Max_(Normalized),Peak_Power_(Normalized),0.046869585150592856,46.040306311333936,0.044115408837759204,0.6323407146558302,0.0977094976424039
SF,GRF_at_Bottom_(Normalized),Peak_Power_(Normalized),0.5284808041369282,33.73741771311654,0.28507695756997375,0.0015998697172801652,0.16357627494001062
SF,Depth,Peak_Power_(Normalized),-7.49568375904546,50.82138565579701,-0.1068447103003677,0.24543755232176517,6.421316261929361
SF,Contact_Time,Peak_Power_(Normalized),-9.111017806994075,52.29001307025686,-0.14370222468003385,0.11738588549373302,5.776054614945203
SF,GRF_Max_(Normalized),RSI_(Impulse),0.0036005602273186917,0.47561548469954334,0.14169472656369642,0.12265105169062808,0.0023156412466219856
SF,GRF_at_Bottom_(Normalized),RSI_(Impulse),0.02624959184846982,-0.09330307924656478,0.5920247482733821,1.0683258057447715e-12,0.0032895273863222316
SF,Jump_Height_(Impulse),RSI_(Impulse),1.5116387044545183,0.14314021325412768,0.6834744938214148,7.88170762337802e-18,0.14862515272675397
SF,Contact_Time,RSI_(Impulse),-0.7612994345840594,0.9873663246236045,-0.5020379090826022,5.163459143051046e-09,0.12073038324215069
