Subject,Style,Trial,Jump_Height_(Impulse),Jump_Height_(Flight),Bodyweight,GRF_Impulse_(Normalized),Net_Impulse_(Normalized),Concentric_GRF_Impulse_(Normalized),Concentric_Net_Impulse_(Normalized),GRF_Max_(Normalized),Net_F_Max_(Normalized),GRF_at_Bottom_(Normalized),Average_Power_(Normalized),Peak_Power_(Normalized),Depth,Contact_Time,RSI_(Impulse),RSI_(Flight),Stiffness,Time_GRF_Max,Time_GRF_Ecc_Max,Time_GRF_Con_Max,GRF_Max_2_(Normalized),GRF_1st_high_(Normalized),GRF_1st_low_(Normalized),GRF_2nd_high_(Normalized),GRF_2nd_low_(Normalized),Max_GRF_diff_1st_(Normalized),Max_GRF_diff_2nd_(Normalized),GRF_1st_Higher_Side,GRF_2nd_Higher_Side,Impulse_high_(Normalized),Impulse_low_(Normalized)
1,SF,1,0.34534807128240946,0.438362158325,85.9608029557135,10.621189351504507,5.472698101504489,5.143996505335238,2.6138808053352203,29.0096173401816,19.2029673401816,28.024168192578333,29.491551584078145,51.561424529406175,0.5342719491307569,0.525,0.6578058500617323,0.8349755396666666,54.297474137242844,0.22100000000000009,0.22100000000000009,0.26699999999999946,62.4044892038023,15.190644515881736,13.996611928111712,34.75072239075044,27.653766813051856,1.1940325877700246,7.0969555776985835,A,B,1109.2505150000004,867.692355000001
1,SF,2,0.25944386787078183,0.33146477,86.31016247314587,10.578398462453073,5.125901062453058,4.874197347628599,2.2558217976285855,27.530593523553037,17.72394352355304,26.24024720964532,23.618140914085917,41.227282283424955,0.5632866636352115,0.556,0.46662566163809677,0.5961596582733812,48.874925150690316,0.2680000000000007,0.2680000000000007,0.2890000000000015,37.18229589706193,17.254283358154364,13.861403636822443,19.851080694386173,17.76117615902949,3.392879721331921,2.089904535356684,A,A,775.5833449999994,749.7951849999987
1,SF,3,0.31708668561013253,0.38167972132500005,85.99587306281234,10.316293368543503,5.363935118543499,4.936644397922647,2.494788547922646,32.24073320326528,22.43408320326528,27.53457713337579,28.69049701422618,49.89203605881256,0.5165037879945008,0.505,0.6278944269507575,0.7558014283663367,62.42109729427298,0.21899999999999942,0.21899999999999942,0.2560000000000002,53.24499696230257,16.617890476630098,15.695636917531152,30.47646249356294,24.67409102818414,0.9222535590989462,5.802371465378801,A,B,970.7562250000016,880.5507449999985
1,SF,4,0.3009073126957611,0.36946676458125,85.8984342664081,10.526423010175899,5.299478560175896,5.1274279765567305,2.4305992265567253,30.39601387729904,20.589363877299043,28.80727711899274,27.50959104404275,45.63460695539322,0.5094342105804018,0.533,0.5645540575905461,0.6931834232293621,59.66622037940612,0.07000000000000028,0.07000000000000028,0.2580000000000009,40.16638987038283,16.831622279818504,14.392578986547068,21.271749777569095,19.12339862802821,2.4390432932714354,2.1483511495408862,A,B,893.8631400000006,697.1527300000008
1,SF,5,0.3176199179527176,0.4095306073249999,86.30526377000976,9.828056864067493,5.3660311140674954,4.723056824045601,2.5067539240456007,32.49477352242942,22.68812352242942,28.653292881300704,29.92183797439683,52.125992743912605,0.4489491489188355,0.455,0.6980657537422365,0.9000672688461536,72.37963052315325,0.1720000000000006,0.1720000000000006,0.2289999999999992,55.94270603084276,20.376625053674882,16.109214424104675,29.963641695034326,26.266184714306256,4.2674106295702074,3.69745698072807,A,B,928.4633549999992,686.4747650000004
1,SS,1,0.37285015921519243,0.4137928225812499,86.12513310303218,9.192996358598664,5.574342508598664,4.757226784309904,2.717443584309901,45.8215837562643,36.0149337562643,32.36627799071418,35.72146848819917,59.64429357499848,0.2906607767257906,0.369,1.0104340358135298,1.1213897630928182,157.64625785574222,0.05600000000000094,0.05600000000000094,0.16100000000000136,58.1556140413519,25.497551305644215,22.183419997904604,37.23651719833559,24.53035396151532,3.3141313077396113,12.70616323682027,B,A,781.3928349999986,1139.1638150000013
1,SS,2,0.44212306903607784,0.46969072758124997,86.2362279660627,9.629646142765015,5.81485929276501,4.995897897685732,2.9659213476857285,43.04756930533787,33.240919305337876,33.00469033872968,39.731863917352605,61.63460339122893,0.3459096444832577,0.389,1.1365631594757786,1.2074311763014138,124.44743878027779,0.06400000000000006,0.06400000000000006,0.19400000000000084,52.01746534838389,23.8409082643213,19.929095236822505,28.1258823258656,27.174078171904906,3.911813027498795,0.9518041539606941,A,B,1113.5798249999993,1312.6486050000012
1,SS,3,0.40649230201193487,0.45463751983124995,86.21381453594621,9.243715920581652,5.693708620581658,4.748930344907705,2.8464402449077086,37.49074341969117,27.684093419691166,33.93307691750763,38.621382648035784,63.90535680194783,0.3188414148722722,0.362,1.1229069116351793,1.2559047509150552,117.58429636473026,0.06099999999999994,0.06099999999999994,0.16800000000000104,44.44125365085783,23.182363647379063,17.71491040294031,26.632622768856354,20.9909515051727,5.4674532444387545,5.641671263683655,A,B,618.332819952999,722.2038600000002
1,SS,4,0.3468628632282456,0.4095306073249999,86.14265799329709,9.20492667014872,5.4783996701487165,4.532500437012069,2.6103970370120653,36.925607754609906,27.1189577546099,33.11994389843415,35.000856874530164,58.248329093679956,0.3576837872233958,0.38,0.9127970084953831,1.0777121245394734,103.2353410291632,0.07499999999999929,0.07499999999999929,0.18399999999999928,63.922220747222184,20.368073621973974,17.801168848531695,42.01367921897202,28.167577557089132,2.5669047734422783,13.84610166188289,A,A,1312.390930000002,701.2133799999986
1,SS,5,0.37168540459137533,0.43543487329999997,86.22449614797118,9.610455114494725,5.570115314494725,4.808602932146633,2.709979832146634,48.845515928237745,39.03886592823775,30.060714945227176,34.291600182763304,57.92865209093495,0.3644584846357835,0.412,0.9021490402703285,1.0568807604368933,134.02216709826587,0.05900000000000105,0.05900000000000105,0.20000000000000107,73.11089402229379,31.916800015592248,20.773910895646868,46.76745217600072,27.781896178193723,11.14288911994538,18.985555997806994,B,B,1065.7936549999997,719.2397391840008
